 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
  -0.1250000        1.000000    
   0.1250000        1.000000    
   0.3750000        1.000000    
   0.6250000        1.000000    
   0.8750000        1.000000    
    1.125000        1.000000    
    1.375000        1.000000    
    1.625000        1.000000    
    1.875000        1.000000    
    2.125000        1.000000    
    2.375000        1.000000    
    2.625000        1.000000    
    2.875000        1.000000    
    3.125000       0.9997485    
    3.375000       0.9914487    
    3.625000       0.9828974    
    3.875000       0.9744718    
    4.125000       0.9603873    
    4.375000       0.9445422    
    4.625000       0.9289487    
    4.875000       0.9154930    
    5.125000       0.9001509    
    5.375000       0.8782696    
    5.625000       0.8578974    
    5.875000       0.8450704    
    6.125000       0.8333753    
    6.375000       0.8205483    
    6.625000       0.8112425    
    6.875000       0.8033199    
    7.125000       0.7952716    
    7.375000       0.7867203    
    7.625000       0.7774145    
    7.875000       0.7704980    
    8.125000       0.7638330    
    8.375000       0.7593058    
    8.625000       0.7518863    
    8.875000       0.7466046    
    9.125000       0.7414487    
    9.375000       0.7362928    
    9.625000       0.7305080    
    9.875000       0.7203220    
    10.12500       0.7043511    
    10.37500       0.6882545    
    10.62500       0.6760563    
    10.87500       0.6629779    
    11.12500       0.3649396    
    11.37500        0.000000    
    11.62500        0.000000    
    11.87500        0.000000    
    12.12500        0.000000    
    12.37500        0.000000    
    12.62500        0.000000    
    12.87500        0.000000    
    13.12500        0.000000    
    13.37500        0.000000    
    13.62500        0.000000    
    13.87500        0.000000    
    14.12500        0.000000    
    14.37500        0.000000    
    14.62500        0.000000    
    14.87500        0.000000    
    15.12500        0.000000    
    15.37500        0.000000    
    15.62500        0.000000    
    15.87500        0.000000    
    16.12500        0.000000    
    16.37500        0.000000    
    16.62500        0.000000    
    16.87500        0.000000    
    17.12500        0.000000    
    17.37500        0.000000    
    17.62500        0.000000    
    17.87500        0.000000    
    18.12500        0.000000    
    18.37500        0.000000    
    18.62500        0.000000    
    18.87500        0.000000    
    19.12500        0.000000    
    19.37500        0.000000    
    19.62500        0.000000    
