 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
  -6.2500000E-02    1.000000    
   6.2500000E-02    1.000000    
   0.1875000        1.000000    
   0.3125000        1.000000    
   0.4375000        1.000000    
   0.5625000        1.000000    
   0.6875000        1.000000    
   0.8125000        1.000000    
   0.9375000        1.000000    
    1.062500        1.000000    
    1.187500        1.000000    
    1.312500        1.000000    
    1.437500        1.000000    
    1.562500        1.000000    
    1.687500        1.000000    
    1.812500        1.000000    
    1.937500        1.000000    
    2.062500        1.000000    
    2.187500        1.000000    
    2.312500        1.000000    
    2.437500        1.000000    
    2.562500        1.000000    
    2.687500        1.000000    
    2.812500        1.000000    
    2.937500        1.000000    
    3.062500       0.9999871    
    3.187500       0.9999223    
    3.312500       0.9981685    
    3.437500       0.9943582    
    3.562500       0.9901703    
    3.687500       0.9853976    
    3.812500       0.9795898    
    3.937500       0.9738570    
    4.062500       0.9678583    
    4.187500       0.9606582    
    4.312500       0.9529135    
    4.437500       0.9447455    
    4.562500       0.9360730    
    4.687500       0.9267161    
    4.812500       0.9168575    
    4.937500       0.9069064    
    5.062500       0.8967503    
    5.187500       0.8855897    
    5.312500       0.8742130    
    5.437500       0.8622519    
    5.562500       0.8500464    
    5.687500       0.8379689    
    5.812500       0.8255971    
    5.937500       0.8127700    
    6.062500       0.7996333    
    6.187500       0.7866247    
    6.312500       0.7736457    
    6.437500       0.7605488    
    6.562500       0.7471517    
    6.687500       0.7335905    
    6.812500       0.7206846    
    6.937500       0.7075065    
    7.062500       0.6941894    
    7.187500       0.6808551    
    7.312500       0.6678062    
    7.437500       0.6551372    
    7.562500       0.6420763    
    7.687500       0.6292535    
    7.812500       0.6163007    
    7.937500       0.6040155    
    8.062500       0.5916682    
    8.187500       0.5795646    
    8.312500       0.5673283    
    8.437500       0.5552403    
    8.562500       0.5436291    
    8.687500       0.5321837    
    8.812500       0.5205389    
    8.937500       0.5093532    
    9.062500       0.4980659    
    9.187500       0.4874859    
    9.312500       0.4766984    
    9.437500       0.4660679    
    9.562500       0.4555827    
    9.687500       0.4455281    
    9.812500       0.4355961    
    9.937500       0.4258492    
    10.06250       0.4162147    
    10.18750       0.4070456    
    10.31250       0.3979706    
    10.43750       0.3893142    
    10.56250       0.3801701    
    10.68750       0.3717909    
    10.81250       0.3632571    
    10.93750       0.3551477    
    11.06250       0.3472319    
    11.18750       0.3391045    
    11.31250       0.3313286    
    11.43750       0.3236650    
    11.56250       0.3162580    
    11.68750       0.3091384    
    11.81250       0.3017122    
    11.93750       0.2946952    
    12.06250       0.2877907    
    12.18750       0.2810205    
    12.31250       0.2742878    
    12.43750       0.2678244    
    12.56250       0.2613955    
    12.68750       0.2550340    
    12.81250       0.2490712    
    12.93750       0.2429257    
    13.06250       0.2369180    
    13.18750       0.2312996    
    13.31250       0.2254630    
    13.43750       0.2201667    
    13.56250       0.2144858    
    13.68750       0.2092035    
    13.81250       0.2040970    
    13.93750       0.1991278    
    14.06250       0.1941981    
    14.18750       0.1890740    
    14.31250       0.1844551    
    14.43750       0.1797909    
    14.56250       0.1753759    
    14.68750       0.1707484    
    14.81250       0.1664204    
    14.93750       0.1621978    
    15.06250       0.1579756    
    15.18750       0.1539181    
    15.31250       0.1498259    
    15.43750       0.1457775    
    15.56250       0.1420538    
    15.68750       0.1383365    
    15.81250       0.1346796    
    15.93750       0.1309494    
    16.06250       0.1274627    
    16.18750       0.1241385    
    16.31250       0.1206636    
    16.43750       0.1173512    
    16.56250       0.1140972    
    16.68750       0.1109761    
    16.81250       0.1079822    
    16.93750       0.1048454    
    17.06250       0.1018414    
    17.18750       9.8944291E-02
    17.31250       9.6223712E-02
    17.43750       9.3437538E-02
    17.56250       9.0689629E-02
    17.68750       8.8042453E-02
    17.81250       8.5428074E-02
    17.93750       8.2979240E-02
    18.06250       8.0394529E-02
    18.18750       7.8040183E-02
    18.31250       7.5697549E-02
    18.43750       7.3336177E-02
    18.56250       7.1164548E-02
    18.68750       6.8850026E-02
    18.81250       6.6750243E-02
    18.93750       6.4700440E-02
    19.06250       6.2619403E-02
    19.18750       6.0679700E-02
    19.31250       5.8644339E-02
    19.43750       5.6849491E-02
    19.56250       5.4946493E-02
    19.68750       5.3177804E-02
    19.81250       5.1427074E-02
    19.93750       4.9645111E-02
    20.06250       4.8060708E-02
    20.18750       4.6406809E-02
    20.31250       4.4836462E-02
    20.43750       4.3311406E-02
    20.56250       4.1791037E-02
    20.68750       4.0350318E-02
    20.81250       3.8998619E-02
    20.93750       3.7586007E-02
    21.06250       3.6224157E-02
    21.18750       3.4953669E-02
    21.31250       3.3712070E-02
    21.43750       3.2435335E-02
    21.56250       3.1285103E-02
    21.68750       3.0120814E-02
    21.81250       2.9029146E-02
    21.93750       2.7887503E-02
    22.06250       2.6828632E-02
    22.18750       2.5877912E-02
    22.31250       2.4892835E-02
    22.43750       2.3878474E-02
    22.56250       2.3002328E-02
    22.68750       2.2111347E-02
    22.81250       2.1209432E-02
    22.93750       2.0422306E-02
    23.06250       1.9569587E-02
    23.18750       1.8808231E-02
    23.31250       1.8023448E-02
    23.43750       1.7308164E-02
    23.56250       1.6592881E-02
    23.68750       1.5908832E-02
    23.81250       1.5264606E-02
    23.93750       1.4589928E-02
    24.06250       1.4025353E-02
    24.18750       1.3437351E-02
    24.31250       1.2813430E-02
    24.43750       1.2262911E-02
    24.56250       1.1738161E-02
    24.68750       1.1257920E-02
    24.81250       1.0725361E-02
    24.93750       1.0261520E-02
    25.06250       9.8273521E-03
    25.18750       9.3541397E-03
    25.31250       8.9441789E-03
    25.43750       8.5107908E-03
    25.56250       8.1383120E-03
    25.68750       7.7400645E-03
    25.81250       7.3675853E-03
    25.93750       7.0021343E-03
    26.06250       6.6686994E-03
    26.18750       6.3235513E-03
    26.31250       5.9862118E-03
    26.43750       5.7121236E-03
    26.56250       5.3747846E-03
    26.68750       5.0889831E-03
    26.81250       4.7914684E-03
    26.93750       4.5689181E-03
    27.06250       4.2667184E-03
    27.18750       4.0347977E-03
    27.31250       3.7888209E-03
    27.43750       3.5865735E-03
    27.56250       3.3476248E-03
    27.68750       3.1336641E-03
    27.81250       2.9204844E-03
    27.93750       2.7564999E-03
    28.06250       2.5339497E-03
    28.18750       2.3816784E-03
    28.31250       2.1989529E-03
    28.43750       2.0724507E-03
    28.56250       1.8803546E-03
    28.68750       1.7538524E-03
    28.81250       1.6015811E-03
    28.93750       1.4953817E-03
    29.06250       1.3501383E-03
    29.18750       1.2415963E-03
    29.31250       1.1502336E-03
    29.43750       1.0471576E-03
    29.56250       9.3471119E-04
    29.68750       8.5037632E-04
    29.81250       7.8009727E-04
    29.93750       6.9107721E-04
    30.06250       6.0674234E-04
    30.18750       5.4739561E-04
    30.31250       4.9976201E-04
    30.43750       4.3885352E-04
    30.56250       3.7560239E-04
    30.68750       3.3343499E-04
    30.81250       2.9595284E-04
    30.93750       2.4675750E-04
    31.06250       2.0927534E-04
    31.18750       1.7647847E-04
    31.31250       1.5695651E-04
    31.43750       1.2884490E-04
    31.56250       1.0073328E-04
    31.68750       9.1362745E-05
    31.81250       6.7155524E-05
    31.93750       5.3099717E-05
    32.06250       3.4358640E-05
    32.18750       3.4358640E-05
    32.31250       2.0302832E-05
    32.43750       1.7179320E-05
    32.56250       1.0151416E-05
    32.68750       7.8087814E-06
    32.81250       3.1235127E-06
    32.93750       7.8087817E-07
    33.06250       7.8087817E-07
    33.18750       7.8087817E-07
    33.31250        0.000000    
    33.43750        0.000000    
    33.56250        0.000000    
    33.68750        0.000000    
    33.81250        0.000000    
    33.93750        0.000000    
    34.06250        0.000000    
    34.18750        0.000000    
    34.31250        0.000000    
    34.43750        0.000000    
    34.56250        0.000000    
    34.68750        0.000000    
    34.81250        0.000000    
    34.93750        0.000000    
    35.06250        0.000000    
    35.18750        0.000000    
    35.31250        0.000000    
    35.43750        0.000000    
    35.56250        0.000000    
    35.68750        0.000000    
    35.81250        0.000000    
    35.93750        0.000000    
    36.06250        0.000000    
    36.18750        0.000000    
    36.31250        0.000000    
    36.43750        0.000000    
    36.56250        0.000000    
    36.68750        0.000000    
    36.81250        0.000000    
    36.93750        0.000000    
    37.06250        0.000000    
    37.18750        0.000000    
    37.31250        0.000000    
    37.43750        0.000000    
    37.56250        0.000000    
    37.68750        0.000000    
    37.81250        0.000000    
    37.93750        0.000000    
    38.06250        0.000000    
    38.18750        0.000000    
    38.31250        0.000000    
    38.43750        0.000000    
    38.56250        0.000000    
    38.68750        0.000000    
    38.81250        0.000000    
    38.93750        0.000000    
    39.06250        0.000000    
    39.18750        0.000000    
    39.31250        0.000000    
    39.43750        0.000000    
    39.56250        0.000000    
    39.68750        0.000000    
    39.81250        0.000000    
