 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
  -6.2500000E-02    1.000000    
   6.2500000E-02   0.9999522    
   0.1875000       0.9999074    
   0.3125000       0.9998723    
   0.4375000       0.9998291    
   0.5625000       0.9997897    
   0.6875000       0.9997518    
   0.8125000       0.9997166    
   0.9375000       0.9996753    
    1.062500       0.9993919    
    1.187500       0.9990944    
    1.312500       0.9988225    
    1.437500       0.9981837    
    1.562500       0.9974127    
    1.687500       0.9966115    
    1.812500       0.9955437    
    1.937500       0.9944353    
    2.062500       0.9931613    
    2.187500       0.9918870    
    2.312500       0.9898053    
    2.437500       0.9874391    
    2.562500       0.9846032    
    2.687500       0.9817742    
    2.812500       0.9789612    
    2.937500       0.9759827    
    3.062500       0.9721444    
    3.187500       0.9678292    
    3.312500       0.9633108    
    3.437500       0.9583657    
    3.562500       0.9533147    
    3.687500       0.9477607    
    3.812500       0.9412934    
    3.937500       0.9350774    
    4.062500       0.9287684    
    4.187500       0.9215125    
    4.312500       0.9139216    
    4.437500       0.9060465    
    4.562500       0.8978409    
    4.687500       0.8890640    
    4.812500       0.8798755    
    4.937500       0.8707162    
    5.062500       0.8615013    
    5.187500       0.8514501    
    5.312500       0.8411888    
    5.437500       0.8304209    
    5.562500       0.8194513    
    5.687500       0.8087167    
    5.812500       0.7976152    
    5.937500       0.7860257    
    6.062500       0.7740855    
    6.187500       0.7622524    
    6.312500       0.7504778    
    6.437500       0.7385035    
    6.562500       0.7261335    
    6.687500       0.7136158    
    6.812500       0.7016113    
    6.937500       0.6893013    
    7.062500       0.6768364    
    7.187500       0.6642663    
    7.312500       0.6519073    
    7.437500       0.6398218    
    7.562500       0.6273755    
    7.687500       0.6150973    
    7.812500       0.6026744    
    7.937500       0.5908325    
    8.062500       0.5789267    
    8.187500       0.5672221    
    8.312500       0.5553381    
    8.437500       0.5435815    
    8.562500       0.5322896    
    8.687500       0.5211315    
    8.812500       0.5097673    
    8.937500       0.4988402    
    9.062500       0.4878114    
    9.187500       0.4774691    
    9.312500       0.4669195    
    9.437500       0.4565145    
    9.562500       0.4462483    
    9.687500       0.4364035    
    9.812500       0.4266793    
    9.937500       0.4171348    
    10.06250       0.4076993    
    10.18750       0.3987177    
    10.31250       0.3898295    
    10.43750       0.3813509    
    10.56250       0.3723938    
    10.68750       0.3641860    
    10.81250       0.3558275    
    10.93750       0.3478839    
    11.06250       0.3401300    
    11.18750       0.3321689    
    11.31250       0.3245519    
    11.43750       0.3170452    
    11.56250       0.3097896    
    11.68750       0.3028156    
    11.81250       0.2955413    
    11.93750       0.2886679    
    12.06250       0.2819045    
    12.18750       0.2752728    
    12.31250       0.2686778    
    12.43750       0.2623467    
    12.56250       0.2560492    
    12.68750       0.2498179    
    12.81250       0.2439770    
    12.93750       0.2379572    
    13.06250       0.2320724    
    13.18750       0.2265689    
    13.31250       0.2208516    
    13.43750       0.2156636    
    13.56250       0.2100989    
    13.68750       0.2049247    
    13.81250       0.1999226    
    13.93750       0.1950551    
    14.06250       0.1902262    
    14.18750       0.1852069    
    14.31250       0.1806825    
    14.43750       0.1761137    
    14.56250       0.1717889    
    14.68750       0.1672561    
    14.81250       0.1630166    
    14.93750       0.1588804    
    15.06250       0.1547445    
    15.18750       0.1507701    
    15.31250       0.1467616    
    15.43750       0.1427959    
    15.56250       0.1391484    
    15.68750       0.1355071    
    15.81250       0.1319250    
    15.93750       0.1282711    
    16.06250       0.1248558    
    16.18750       0.1215996    
    16.31250       0.1181957    
    16.43750       0.1149510    
    16.56250       0.1117636    
    16.68750       0.1087063    
    16.81250       0.1057736    
    16.93750       0.1027010    
    17.06250       9.9758402E-02
    17.18750       9.6920602E-02
    17.31250       9.4255663E-02
    17.43750       9.1526479E-02
    17.56250       8.8834770E-02
    17.68750       8.6241730E-02
    17.81250       8.3680823E-02
    17.93750       8.1282079E-02
    18.06250       7.8750230E-02
    18.18750       7.6444037E-02
    18.31250       7.4149318E-02
    18.43750       7.1836241E-02
    18.56250       6.9709033E-02
    18.68750       6.7441851E-02
    18.81250       6.5385014E-02
    18.93750       6.3377135E-02
    19.06250       6.1338656E-02
    19.18750       5.9438627E-02
    19.31250       5.7444897E-02
    19.43750       5.5686757E-02
    19.56250       5.3822681E-02
    19.68750       5.2090164E-02
    19.81250       5.0375246E-02
    19.93750       4.8629727E-02
    20.06250       4.7077730E-02
    20.18750       4.5457657E-02
    20.31250       4.3919429E-02
    20.43750       4.2425565E-02
    20.56250       4.0936291E-02
    20.68750       3.9525039E-02
    20.81250       3.8200986E-02
    20.93750       3.6817268E-02
    21.06250       3.5483271E-02
    21.18750       3.4238767E-02
    21.31250       3.3022564E-02
    21.43750       3.1771943E-02
    21.56250       3.0645233E-02
    21.68750       2.9504757E-02
    21.81250       2.8435417E-02
    21.93750       2.7317123E-02
    22.06250       2.6279910E-02
    22.18750       2.5348635E-02
    22.31250       2.4383705E-02
    22.43750       2.3390090E-02
    22.56250       2.2531865E-02
    22.68750       2.1659106E-02
    22.81250       2.0775639E-02
    22.93750       2.0004611E-02
    23.06250       1.9169334E-02
    23.18750       1.8423550E-02
    23.31250       1.7654818E-02
    23.43750       1.6954163E-02
    23.56250       1.6253509E-02
    23.68750       1.5583450E-02
    23.81250       1.4952402E-02
    23.93750       1.4291522E-02
    24.06250       1.3738494E-02
    24.18750       1.3162520E-02
    24.31250       1.2551359E-02
    24.43750       1.2012099E-02
    24.56250       1.1498081E-02
    24.68750       1.1027664E-02
    24.81250       1.0505998E-02
    24.93750       1.0051643E-02
    25.06250       9.6263541E-03
    25.18750       9.1628209E-03
    25.31250       8.7612448E-03
    25.43750       8.3367210E-03
    25.56250       7.9718605E-03
    25.68750       7.5817578E-03
    25.81250       7.2168973E-03
    25.93750       6.8589211E-03
    26.06250       6.5323059E-03
    26.18750       6.1942167E-03
    26.31250       5.8637769E-03
    26.43750       5.5952948E-03
    26.56250       5.2648550E-03
    26.68750       4.9848990E-03
    26.81250       4.6934690E-03
    26.93750       4.4754706E-03
    27.06250       4.1794516E-03
    27.18750       3.9522746E-03
    27.31250       3.7113286E-03
    27.43750       3.5132177E-03
    27.56250       3.2791563E-03
    27.68750       3.0695717E-03
    27.81250       2.8607522E-03
    27.93750       2.7001216E-03
    28.06250       2.4821232E-03
    28.18750       2.3329663E-03
    28.31250       2.1539780E-03
    28.43750       2.0300632E-03
    28.56250       1.8418960E-03
    28.68750       1.7179811E-03
    28.81250       1.5688242E-03
    28.93750       1.4647968E-03
    29.06250       1.3225242E-03
    29.18750       1.2162022E-03
    29.31250       1.1267080E-03
    29.43750       1.0257403E-03
    29.56250       9.1559364E-04
    29.68750       8.3298370E-04
    29.81250       7.6414208E-04
    29.93750       6.7694270E-04
    30.06250       5.9433276E-04
    30.18750       5.3619978E-04
    30.31250       4.8954046E-04
    30.43750       4.2987772E-04
    30.56250       3.6792026E-04
    30.68750       3.2661529E-04
    30.81250       2.8989973E-04
    30.93750       2.4171060E-04
    31.06250       2.0499507E-04
    31.18750       1.7286898E-04
    31.31250       1.5374631E-04
    31.43750       1.2620965E-04
    31.56250       9.8673001E-05
    31.68750       8.9494119E-05
    31.81250       6.5781998E-05
    31.93750       5.2013675E-05
    32.06250       3.3655906E-05
    32.18750       3.3655906E-05
    32.31250       1.9887582E-05
    32.43750       1.6827953E-05
    32.56250       9.9437912E-06
    32.68750       7.6490696E-06
    32.81250       3.0596279E-06
    32.93750       7.6490699E-07
    33.06250       7.6490699E-07
    33.18750       7.6490699E-07
    33.31250        0.000000    
    33.43750        0.000000    
    33.56250        0.000000    
    33.68750        0.000000    
    33.81250        0.000000    
    33.93750        0.000000    
    34.06250        0.000000    
    34.18750        0.000000    
    34.31250        0.000000    
    34.43750        0.000000    
    34.56250        0.000000    
    34.68750        0.000000    
    34.81250        0.000000    
    34.93750        0.000000    
    35.06250        0.000000    
    35.18750        0.000000    
    35.31250        0.000000    
    35.43750        0.000000    
    35.56250        0.000000    
    35.68750        0.000000    
    35.81250        0.000000    
    35.93750        0.000000    
    36.06250        0.000000    
    36.18750        0.000000    
    36.31250        0.000000    
    36.43750        0.000000    
    36.56250        0.000000    
    36.68750        0.000000    
    36.81250        0.000000    
    36.93750        0.000000    
    37.06250        0.000000    
    37.18750        0.000000    
    37.31250        0.000000    
    37.43750        0.000000    
    37.56250        0.000000    
    37.68750        0.000000    
    37.81250        0.000000    
    37.93750        0.000000    
    38.06250        0.000000    
    38.18750        0.000000    
    38.31250        0.000000    
    38.43750        0.000000    
    38.56250        0.000000    
    38.68750        0.000000    
    38.81250        0.000000    
    38.93750        0.000000    
    39.06250        0.000000    
    39.18750        0.000000    
    39.31250        0.000000    
    39.43750        0.000000    
    39.56250        0.000000    
    39.68750        0.000000    
    39.81250        0.000000    
